+-----+-----------------+------------------------------------------------------------------------------------------------------+----------+------------------------------------------+-------------------------------------------------------------------------------------------------------+-------+----------+-------+------------+-----------+-----------+-----------+
| id  | course          | course_desc                                                                                          | campus   | unit                                     | unit_desc                                                                                             | hours | semester | room  | lecturer   | room_lock | day_lock  | time_lock |
+-----+-----------------+------------------------------------------------------------------------------------------------------+----------+------------------------------------------+-------------------------------------------------------------------------------------------------------+-------+----------+-------+------------+-----------+-----------+-----------+
|   1 | 0               | 0                                                                                                    | 0        | 0                                        | 0                                                                                                     |     0 | 0        | 0     | 0          | 0         | 0         | 0         |
|  12 | 0               | 0                                                                                                    | 0        | 0                                        | 0                                                                                                     |     0 | 0        | 0     | 0          | 0         | 0         | 0         |
|  13 | #HCCPT7_SD117A  | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | EASTERN  | H17334+H17X34+H17734+H18134              | Developing Software:  Introduction+Software Development:  Programming Foundations+Troubleshooting Co  |     0 | ALL      | A3.12 | Neymar9    |           | Tuesday   | 13:00     |
|  14 | #HCCPT7_SD117A  | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | EASTERN  | H17534+H17934+H18034                     | Computer Systems Fundamentals+Cloud Computing+Systems Development:  Introduction                      |     0 | ALL      | A3.12 | Bob        |           | Thursday  | 14:00     |
|  17 | 0               | 0                                                                                                    | 0        | 0                                        | 0                                                                                                     |     0 | 0        | 0     | 0          | 0         | 0         | 0         |
|  32 | 0               | 0                                                                                                    | 0        | 0                                        | 0                                                                                                     |     0 | 0        | 0     | 0          | 0         | 0         | 0         |
|  47 | 0               | 0                                                                                                    | 0        | 0                                        | 0                                                                                                     |     0 | 0        | 0     | 0          | 0         | 0         | 0         |
|  51 | #TAPSN_BF217A   | HND Computing: Networking SCQF Level 8 - Yr2 Grp A                                                   | STB      | FR2335                                   | Switching Technology                                                                                  |     1 | 1        | CISCO | NLR        | XY44A     | 0         | 0         |
|  57 | #TAPSN_BF217A   | HND Computing: Networking SCQF Level 8 - Yr2 Grp A                                                   | STB      | FR2535                                   | Internetworking Technology                                                                            |     1 | 2        | CISCO | NLR        | XY44A     | 0         | 0         |
|  60 | 0               | 0                                                                                                    | 0        | 0                                        | 0                                                                                                     |     0 | 0        | 0     | 0          | 0         | 0         | 0         |
|  64 | #TAPSN_BF217B   | HND Computing: Networking SCQF Level 8 - Yr2 Grp A                                                   | STB      | FR2335                                   | Switching Technology                                                                                  |     1 | 1        | CISCO | NLR        |  XY44A    | 0         | 0         |
|  70 | #TAPSN_BF217B   | HND Computing: Networking SCQF Level 8 - Yr2 Grp A                                                   | STB      | FR2535                                   | Internetworking Technology                                                                            |     1 | 2        | CISCO | NLR        | XY44a     | 0         | 0         |
|  73 | 0               | 0                                                                                                    | 0        | 0                                        | 0                                                                                                     |     0 | 0        | 0     | 0          | 0         | 0         | 0         |
|  75 | #TAPSD_BF117A   | HND Computing: Software Development SCQF Level 8 - Yr1 Grp B                                         | STB      | H17734                                   | Troubleshooting Computer Problems                                                                     |     0 | 1        | A     | Becks      | XY44      | 0         | 0         |
|  79 | #TAPSD_BF117A   | HND Computing: Software Development SCQF Level 8 - Yr1 Grp B                                         | STB      | H17W34                                   | Software Development: Developing Small Scale Standalone Applications                                  |     0 | 1        | A     | Becks      | XY44      | 0         | 0         |
|  82 | #TAPSD_BF117A   | HND Computing: Software Development SCQF Level 8 - Yr1 Grp B                                         | STB      | H1J834                                   | Computing: Graded Unit 1                                                                              |     0 | 2        | A     | Ronal      | 0         | 0         | 0         |
