+-----+-----------------------------+------------------------------------------------------------------------------------------------------+----------+----------------------+------------------------------------------------------------------------------------------+-------+----------+-------+-------------+-----------+-----------+-----------+
| id  | course                      | course_desc                                                                                          | campus   | unit                 | unit_desc                                                                                | hours | semester | room  | lecturer    | room_lock | day_lock  | time_lock |
+-----+-----------------------------+------------------------------------------------------------------------------------------------------+----------+----------------------+------------------------------------------------------------------------------------------+-------+----------+-------+-------------+-----------+-----------+-----------+
|   3 | TAPSM5_HF117A               | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | WESTWING | CSCOMM               | Core Skills Comms                                                                        |     2 | 1        | A     | NLR         | B1.08     | Tuesday   | 11:00     |
|   4 | NCCDM5_HF117B               | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp B | WESTWING | CSCOMM               | Core Skills Comms                                                                        |     2 | 1        | A     | NLR         | B1.08     | Wednesday | 11:00     |
|   5 | TAPSM5_SF117A               | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | EASTERN  | CSCOMM               | Core Skills Comms                                                                        |     2 | 1        | A     | NLR         | A3.12     | Tuesday   | 009:00    |
|   6 | TAPSM6_BF117A               | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | STB      | CSCOMM               | Core Skills Comms                                                                        |     2 | 1        | A     | NLR         | XY45      | Wednesday | 11:00     |
|   7 | TAPSM6_BF117B               | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp B | STB      | CSCOMM               | Core Skills Comms                                                                        |     2 | 1        | A     | NLR         | XY45      | Thursday  | 11:00     |
|   8 | TAPSM6_HF117A               | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | WESTWING | CSCOMM               | Core Skills Comms                                                                        |     2 | 1        | A     | NLR         | B1.08     | Wednesday | 009:00    |
|   9 | TAPSM6_HF117B               | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp B | WESTWING | CSCOMM               | Core Skills Comms                                                                        |     2 | 1        | A     | NLR         | B1.08     | Thursday  | 009:00    |
|  10 | TAPSM5_BF117A               | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | STB      | CSNUM                | Core Skills Numeracy                                                                     |     2 | 2        | A     | NLR         | XY45      | Tuesday   | 09:00     |
|  12 | TAPSM5_HF117A               | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp A | WESTWING | CSNUM                | Core Skills Numeracy                                                                     |     2 | 2        | A     | NLR         | B1.08     | Tuesday   | 11:00     |
