+-----+-----------------+------------------------------------------------------------------------------------------------------+----------+----------------------+-----------------------------------------------------------------------+-------+----------+--------+----------+-----------+-----------+-----------+
| id  | course          | course_desc                                                                                          | campus   | unit                 | unit_desc                                                             | hours | semester | room   | lecturer | room_lock | day_lock  | time_lock |
+-----+-----------------+------------------------------------------------------------------------------------------------------+----------+----------------------+-----------------------------------------------------------------------+-------+----------+--------+----------+-----------+-----------+-----------+
|   1 | 0               | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
|   2 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp B | STB      | CSCOMM               | Core Skills Comms                                                     |     2 | 1        | A      | 0        | XY45      | Wednesday | 009:00    |
|  11 | TAPSM5_BF117B   | NC Computing (Software Development- Mobile Development- Cyber Security- Technical Support -Yr1 Grp B | STB      | CSNUM                | Core Skills Numeracy                                                  |     2 | 2        | A      | 0        | XY45      | Wednesday | 009:00    |
|  19 | 0               | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 | 0        | 0      | 0        | 0         | 0         | 0         |
|  21 | Commercial      | CR Smith                                                                                             | STB      | CRSMITH              | Commercial Course                                                     |     1 | 2        | 0      | Pele10   | XY45A     | Tuesday   | 16:00     |
|  29 | HCCPT7_SD117A   | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | EASTERN  | H17334               | Developing Software:  Introduction                                    |     0 | 0        | A3.12  | Neymar9  | 0         | 0         | 0         |
|  30 | HCCPT7_SD117A   | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | EASTERN  | H17X34               | Software Development:  Programming Foundations                        |     0 | 0        | A3.12  | Neymar9  | 0         | 0         | 0         |
|  31 | HCCPT7_SD117A   | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | EASTERN  | H17734               | Troubleshooting Computer Problems                                     |     0 | 0        | A3.12  | Neymar9  | 0         | 0         | 0         |
|  32 | HCCPT7_SD117A   | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | EASTERN  | H18134               | Systems Development:  Testing Software                                |     0 | 0        | A3.12  | Neymar9  | 0         | 0         | 0         |
|  33 | HCCPT7_SD117A   | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | EASTERN  | H17534               | Computer Systems Fundamentals                                         |     0 | 0        | A3.12  | Bob      | 0         | 0         | 0         |
|  34 | HCCPT7_SD117A   | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | EASTERN  | H17934               | Cloud Computing                                                       |     0 | 0        | A3.12  | Bob      | 0         | 0         | 0         |
|  35 | HCCPT7_SD117A   | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | EASTERN  | H18034               | Systems Development:  Introduction                                    |     0 | 0        | A3.12  | Bob      | 0         | 0         | 0         |
|  36 | TAPST7_SD217A   | HNC Computing (Schools) SCQF Level 7 - Yr2 Grp A                                                     | EASTERN  | F1VV34               | Interactive Media: User Interface Design                              |     0 | 0        | A      | Becks    | 0         | 0         | 0         |
|  37 | TAPST7_SD217A   | HNC Computing (Schools) SCQF Level 7 - Yr2 Grp A                                                     | EASTERN  | H17834               | Team Working in Computing                                             |     0 | 0        | A      | Neymar9  | 0         | 0         | 0         |
|  38 | TAPST7_SD217A   | HNC Computing (Schools) SCQF Level 7 - Yr2 Grp A                                                     | EASTERN  | H1F734               | Professionalism and Ethics in Computing                               |     0 | 0        | A      | Becks    | 0         | 0         | 0         |
