+----------+-------+----------+------------+
| campus   | room  | semester | SUM(hours) |
+----------+-------+----------+------------+
| WESTWING | ANY   | ALL      |          1 |
| WESTWING | H6.09 | 1        |         26 |
| WESTWING | H6.09 | 2        |         28 |
| WESTWING | H6.09 | ALL      |          1 |
| NRR      | NRR   | 1        |         10 |
| NRR      | NRR   | 2        |          2 |
| NRR      | NRR   | ALL      |          4 |
| EASTERN  | ANY   | 1        |          1 |
| EASTERN  | ANY   | 2        |          1 |
| EASTERN  | ANY   | ALL      |          1 |
| EASTERN  | COMP  | 1        |         77 |
| EASTERN  | COMP  | 2        |         78 |
| EASTERN  | COMP  | ALL      |          9 |
| EASTERN  | S3.1  | 1        |         23 |
| EASTERN  | S3.1  | 2        |         32 |
| EASTERN  | S3.11 | 1        |         18 |
| EASTERN  | S3.11 | 2        |         18 |
| EASTERN  | S3.12 | 2        |          9 |
| EASTERN  | S3.2  | 1        |         21 |
| EASTERN  | S3.2  | 2        |         22 |
| EASTERN  | S3.2  | ALL      |          6 |
| EASTERN  | S3.8  | 1        |         27 |
| EASTERN  | S3.8  | 2        |         22 |
| EASTERN  | S3.8  | ALL      |          1 |
| EASTERN  | S3.9  | 1        |         10 |
| EASTERN  | S3.9  | 2        |          4 |
+----------+-------+----------+------------+
