+-----+---------------+------------------------------------------------------------------------------------------------------+----------+----------------------+-----------------------------------------------------------------------+-------+----------+-------+----------+-----------+----------+-----------+
| id  | course        | course_desc                                                                                          | campus   | unit                 | unit_desc                                                             | hours | semester | room  | lecturer | room_lock | day_lock | time_lock |
+-----+---------------+------------------------------------------------------------------------------------------------------+----------+----------------------+-----------------------------------------------------------------------+-------+----------+-------+----------+-----------+----------+-----------+
|  18 | 0             | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 |        0 | 0     | 0        | 0         | 0        | 0         |
|  27 | HCCPT7_SD117A | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | STENTON  | H17334               | Developing Software:  Introduction                                    |     0 |        0 | S2.12 | Stewart  | 0         | 0        | 0         |
|  28 | HCCPT7_SD117A | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | STENTON  | H17X34               | Software Development:  Programming Foundations                        |     0 |        0 | S2.12 | Stewart  | 0         | 0        | 0         |
|  29 | HCCPT7_SD117A | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | STENTON  | H17734               | Troubleshooting Computer Problems                                     |     0 |        0 | S2.12 | Stewart  | 0         | 0        | 0         |
|  30 | HCCPT7_SD117A | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | STENTON  | H18134               | Systems Development:  Testing Software                                |     0 |        0 | S2.12 | Stewart  | 0         | 0        | 0         |
|  31 | HCCPT7_SD117A | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | STENTON  | H17534               | Computer Systems Fundamentals                                         |     0 |        0 | S2.12 | Jim      | 0         | 0        | 0         |
|  32 | HCCPT7_SD117A | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | STENTON  | H17934               | Cloud Computing                                                       |     0 |        0 | S2.12 | Jim      | 0         | 0        | 0         |
|  33 | HCCPT7_SD117A | HNC Computing (Schools) SCQF Level 7 - Yr1 Grp A                                                     | STENTON  | H18034               | Systems Development:  Introduction                                    |     0 |        0 | S2.12 | Jim      | 0         | 0        | 0         |
|  34 | HCCPT7_SD217A | HNC Computing (Schools) SCQF Level 7 - Yr2 Grp A                                                     | STENTON  | F1VV34               | Interactive Media: User Interface Design                              |     0 |        0 | A     | Fiona    | 0         | 0        | 0         |
|  35 | HCCPT7_SD217A | HNC Computing (Schools) SCQF Level 7 - Yr2 Grp A                                                     | STENTON  | H17834               | Team Working in Computing                                             |     0 |        0 | A     | Stewart  | 0         | 0        | 0         |
|  36 | HCCPT7_SD217A | HNC Computing (Schools) SCQF Level 7 - Yr2 Grp A                                                     | STENTON  | H1F734               | Professionalism and Ethics in Computing                               |     0 |        0 | A     | Fiona    | 0         | 0        | 0         |
|  37 | HCCPT7_SD217A | HNC Computing (Schools) SCQF Level 7 - Yr2 Grp A                                                     | STENTON  | H1J834               | Computing:  Graded Unit 1                                             |     0 |        0 | A     | Stewart  | 0         | 0        | 0         |
|  38 | HCCPT7_SD217A | HNC Computing (Schools) SCQF Level 7 - Yr2 Grp A                                                     | STENTON  | H16W35               | Relational Database Management Systems                                |     0 |        0 | A     | Stewart  | 0         | 0        | 0         |
|  39 | HCCPT7_SD217A | HNC Computing (Schools) SCQF Level 7 - Yr2 Grp A                                                     | STENTON  | H17W34               | Software Development:  Developing Small Scale Standalone Applications |     0 |        0 | A     | Fiona    | 0         | 0        | 0         |
|  40 | 0             | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 |        0 | 0     | 0        | 0         | 0        | 0         |
|  56 | 0             | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 |        0 | 0     | 0        | 0         | 0        | 0         |
|  72 | 0             | 0                                                                                                    | 0        | 0                    | 0                                                                     |     0 |        0 | 0     | 0        | 0         | 0        | 0         |
