+-----+---------------------------+----------------------------------------------------------------------------------------------+---------+---------------------------------------------+------------------------------------------------------------------------------------------------------+-------+----------+-----------+-------------+-----------+-----------+-----------+
| id  | course                    | course_desc                                                                                  | campus  | unit                                        | unit_desc                                                                                            | hours | semester | room      | lecturer    | room_lock | day_lock  | time_lock |
+-----+---------------------------+----------------------------------------------------------------------------------------------+---------+---------------------------------------------+------------------------------------------------------------------------------------------------------+-------+----------+-----------+-------------+-----------+-----------+-----------+
|   2 | HCEVE_BF117A              | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                                      | STB     | D75X34                                      | Information Technology: Applications Software 1                                                      |     2 | 2        | BCOMP     | NLR         |           | Monday    | 13:00     |
|   3 | HCEVE_BF117A              | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                                      | STB     | DR0T35+H1F034+H7TK34                        | Entrepreneurship+Business Comms + Customer Care                                                      |     3 | 1        | ANY       | NLR         | 0         | 0         | 0         |
|   4 | HCEVE_BF117A              | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                                      | STB     | DR0T35+H1F034+H7TK35                        | Entrepreneurship+Business Comms + Customer Care                                                      |     2 | 2        | ANY       | NLR         | 0         | 0         | 0         |
|   5 | HCEVE_BF117A              | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                                      | STB     | F35S34+H91J34+H91K34+HJ4W34+H91N34+SHBTR    | Event Budgeting and Funding + Organisiing an Event + Event Industrty An Intro+ Work Plcaement+F&B Ev |     3 | 1        | BS01      | FMCLEOD     | 0         | 0         | 0         |
|   6 | HCEVE_BF117A              | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                                      | STB     | F35S34+H91J34+H91K34+HJ4W34+H91N34+SHBTR    | Event Budgeting and Funding + Organisiing an Event + Event Industrty An Intro+ Work Plcaement+F&B Ev |     3 | 1        | BS01      | FMCLEOD     | 0         | 0         | 0         |
|   7 | HCEVE_BF117A              | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                                      | STB     | F3J434                                      | Live Performance Events                                                                              |     2 | 1        | ANY       | NLR         |           | Tuesday   | 13:00     |
|   8 | HCEVE_BF117A              | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                                      | STB     | F35S34+H91J34+H91K34+HJ4W34+H91N34+SHBTR    | Event Budgeting and Funding + Organisiing an Event + Event Industrty An Intro+ Work Plcaement+F&B Ev |     3 | 2        | BS01      | FMCLEOD     | 0         | 0         | 0         |
|   9 | HCEVE_BF117A              | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                                      | STB     | F35S34+H91J34+H91K34+HJ4W34                 | Event Budgeting and Funding + Organisiing an Event + Event Industrty An Intro+ Work Plcaement        |     4 | 2        | BS01      | FMCLEOD     | 0         | 0         | 0         |
|  10 | HCEVE_BF117A              | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                                      | STB     | F7BX34                                      | Marketing: An Introduction                                                                           |     2 | 1        | ANY       | CFAHERTY    | 0         | 0         | 0         |
|  11 | HCEVE_BF117A              | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                                      | STB     | H91L34                                      | Event Legislation Safety and Licensing                                                               |     2 | 2        | BF16      | CFAHERTY    | 0         | 0         | 0         |
|  12 | HCEVE_BF117A              | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                                      | STB     | H91P34                                      | Events Graded Unit 1                                                                                 |     2 | 2        | BS01      | FMCLEOD     | 0         | 0         | 0         |
|  14 | HCTRT_BF117A              | HNC Travel & Tourism SCQF Level 7 FT - Yr 1 Grp A                                            | STB     | D85F34                                      | Using Software Application Packages                                                                  |     2 | 2        | BCOMP     | NLR         | 0         | 0         | 0         |
|  15 | HCTRT_BF117A              | HNC Travel & Tourism SCQF Level 7 FT - Yr 1 Grp A                                            | STB     | DJ9T34                                      | Tour Guiding and Resort Representation                                                               |     2 | 1        | ANY       | FHOGWOOD    | 0         | 0         | 0         |
|  16 | HCTRT_BF117A              | HNC Travel & Tourism SCQF Level 7 FT - Yr 1 Grp A                                            | STB     | DJ9W34                                      | Structure of the Travel and Tourism Industry                                                         |     2 | 2        | BS01      | AWHITE      | 0         | 0         | 0         |
|  17 | HCTRT_BF117A              | HNC Travel & Tourism SCQF Level 7 FT - Yr 1 Grp A                                            | STB     | DK0134                                      | Practical Travel and Tourism Visit                                                                   |     1 | 1        | BS01      | AWHITE      | 0         | 0         | 0         |
|  18 | HCTRT_BF117A              | HNC Travel & Tourism SCQF Level 7 FT - Yr 1 Grp A                                            | STB     | DK0134                                      | Practical Travel and Tourism Visit                                                                   |     1 | 2        | ANY       | AWHITE      | 0         | 0         | 0         |
|  19 | HCTRT_BF117A              | HNC Travel & Tourism SCQF Level 7 FT - Yr 1 Grp A                                            | STB     | DK0733                                      | International Tourist Destinations                                                                   |     2 | 1        | BS01      | JMILLER     | 0         | 0         | 0         |
|  20 | HCTRT_BF117A              | HNC Travel & Tourism SCQF Level 7 FT - Yr 1 Grp A                                            | STB     | DK0E34                                      | Applying Marketing Principles in Travel and Tourism                                                  |     2 | 1        | ANY       | JMILLER     | 0         | 0         | 0         |
|  21 | HCTRT_BF117A              | HNC Travel & Tourism SCQF Level 7 FT - Yr 1 Grp A                                            | STB     | DK0H34                                      | Visitor Attraction Operations                                                                        |     2 | 1        | BF16      | AWHITE      | 0         | 0         | 0         |
|  22 | HCTRT_BF117A              | HNC Travel & Tourism SCQF Level 7 FT - Yr 1 Grp A                                            | STB     | F86E35                                      | Economics 2: The World Economy                                                                       |     2 | 1        | ANY       | NLR         |           | Thursday  | 11:00     |
|  23 | HCTRT_BF117A              | HNC Travel & Tourism SCQF Level 7 FT - Yr 1 Grp A                                            | STB     | H0RC34+DE3R 34                              | Preparation for Employment in Travel and Tourism + PDP                                               |     2 | 1        | ANY       | CFAHERTY    | 0         | 0         | 0         |
|  24 | HCTRT_BF117A              | HNC Travel & Tourism SCQF Level 7 FT - Yr 1 Grp A                                            | STB     | H1F034+H7TK34                               | Creating a Culture of Customer Care + Business Comms                                                 |     2 | 1        | BS01      | AWHITE      | 0         | 0         | 0         |
|  25 | HCTRT_BF117A              | HNC Travel & Tourism SCQF Level 7 FT - Yr 1 Grp A                                            | STB     | H0RC34+DE3R 34                              | Preparation for Employment in Travel and Tourism + PDP                                               |     2 | 2        | ANY       | CFAHERTY    | 0         | 0         | 0         |
