+---------+-----------+----------+------------+
| campus  | room      | semester | SUM(hours) |
+---------+-----------+----------+------------+
| LEVEN   | ANY       | 1        |         30 |
| LEVEN   | ANY       | 2        |         31 |
| LEVEN   | L2.28     | 1        |         20 |
| LEVEN   | L2.28     | 2        |         20 |
| LEVEN   | LCOMP     | 1        |          2 |
| LEVEN   | LCOMP     | 2        |          1 |
| LEVEN   | LDUMMY1   | 1        |          5 |
| LEVEN   | LDUMMY1   | 2        |          3 |
| STB     | ANY       | 1        |         79 |
| STB     | ANY       | 2        |         92 |
| STB     | BCOMP     | 1        |         16 |
| STB     | BCOMP     | 2        |          9 |
| STB     | BDUMMY1   | 2        |          3 |
| STB     | BF16      | 1        |          4 |
| STB     | BF16      | 2        |          4 |
| STB     | BS01      | 1        |         14 |
| STB     | BS01      | 2        |         13 |
| STB     | BS45      | 1        |         12 |
| STB     | BS45      | 2        |          9 |
| STENTON | ANY       | 1        |          2 |
| STENTON | S2.11     | 1        |          2 |
| STENTON | S3.6      | 1        |         21 |
| STENTON | S3.6      | 2        |         22 |
| STENTON | SCOMP     | 1        |          4 |
| STENTON | SDUMMY1   | 1        |          2 |
| STENTON | V2.4+V2.3 | 1        |         12 |
| STENTON | V2.4+V2.3 | 2        |          3 |
| STENTON | V2.5      | 1        |         16 |
| STENTON | V2.5      | 2        |         29 |
+---------+-----------+----------+------------+
