+-----+---------------+--------------------------------------------------------------------+----------+------------+------------------------------------------------------------------------------------+-------+----------+------+----------+-----------+----------+-----------+
| id  | course        | course_desc                                                        | campus   | unit       | unit_desc                                                                          | hours | semester | room | lecturer | room_lock | day_lock | time_lock |
+-----+---------------+--------------------------------------------------------------------+----------+------------+------------------------------------------------------------------------------------+-------+----------+------+----------+-----------+----------+-----------+
|   2 | BAVCD_SF117A  | BA Visual Communication & Digital Publishing SCQF Level 9 - Yr1 Gr | STENTON  | ART390     | Concept Development                                                                |     5 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|   3 | BAVCD_SF117A  | BA Visual Communication & Digital Publishing SCQF Level 9 - Yr1 Gr | STENTON  | ART391     | Digital Publishing                                                                 |     5 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|   4 | BAVCD_SF117A  | BA Visual Communication & Digital Publishing SCQF Level 9 - Yr1 Gr | STENTON  | ART392     | Personal Project                                                                   |     5 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|   5 | BAVCD_SF117A  | BA Visual Communication & Digital Publishing SCQF Level 9 - Yr1 Gr | STENTON  | ART393     | Personal Project                                                                   |     5 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|   6 | BAVCD_SF117A  | BA Visual Communication & Digital Publishing SCQF Level 9 - Yr1 Gr | STENTON  | ART394     | Sound and Vision                                                                   |     5 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|   7 | BAVCD_SF117A  | BA Visual Communication & Digital Publishing SCQF Level 9 - Yr1 Gr | STENTON  | ART395     | Typography                                                                         |     5 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|   8 | HCPRJ_BF117A  | HNC Practical Journalism SCQF Level 7 - Yr1 Grp A                  | STB      | DE2734     | Shorthand as a Skill (Introductory) (60 wpm)                                       |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|   9 | HCPRJ_BF117A  | HNC Practical Journalism SCQF Level 7 - Yr1 Grp A                  | STB      | F1N234     | Journalism: Feature Writing                                                        |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  10 | HCPRJ_BF117A  | HNC Practical Journalism SCQF Level 7 - Yr1 Grp A                  | STB      | F1N634     | Journalism: Sub Editing                                                            |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  11 | HCPRJ_BF117A  | HNC Practical Journalism SCQF Level 7 - Yr1 Grp A                  | STB      | F1RD34     | Journalism: Research and Interview Skills                                          |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  12 | HCPRJ_BF117A  | HNC Practical Journalism SCQF Level 7 - Yr1 Grp A                  | STB      | F1RM34     | Journalism: Public Affairs                                                         |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  13 | HCPRJ_BF117A  | HNC Practical Journalism SCQF Level 7 - Yr1 Grp A                  | STB      | F1V435     | Design for Print: DTP for Newspaper Production                                     |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  14 | HCPRJ_BF117A  | HNC Practical Journalism SCQF Level 7 - Yr1 Grp A                  | STB      | F1X434     | Practical Journalism: Graded Unit 1                                                |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  15 | HCPRJ_BF117A  | HNC Practical Journalism SCQF Level 7 - Yr1 Grp A                  | STB      | G8L115     | Practical Journalism - Group Award                                                 |     1 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  16 | HCPRJ_BF117A  | HNC Practical Journalism SCQF Level 7 - Yr1 Grp A                  | STB      | H1TH34     | Journalism: Scots Law 1                                                            |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  17 | HCPRJ_BF117A  | HNC Practical Journalism SCQF Level 7 - Yr1 Grp A                  | STB      | H4A334     | Camera: An Introduction                                                            |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  18 | HCPRJ_BF117A  | HNC Practical Journalism SCQF Level 7 - Yr1 Grp A                  | STB      | H4A634     | Editing: An Introduction                                                           |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  19 | HCPRJ_BF117A  | HNC Practical Journalism SCQF Level 7 - Yr1 Grp A                  | STB      | H4WX34     | Journalism: News Writing                                                           |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  20 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | DV5T34     | Art and Design: Creative Process                                                   |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  21 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | DV9234     | Printmaking and Producing Print                                                    |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  22 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | DV9634     | Developmental Drawing                                                              |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  23 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | DV9834     | Life Drawing                                                                       |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  24 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | DV9A34     | Observational Drawing                                                              |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  25 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | DV9C34     | Portfolio Production                                                               |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  26 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | DX3835     | Observational Drawing Portfolio                                                    |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  27 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | DX3935     | Life Drawing Portfolio                                                             |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  28 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | F1H034     | Mixed Media Techniques                                                             |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  29 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | F1MX34     | Jewellery Design and Production                                                    |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  30 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | F1TN35     | Painting Project                                                                   |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  31 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | F1W734     | Experimental Glass: Design and Production                                          |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  32 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | F1X234     | Art and Design: Graded Unit 1                                                      |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  33 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | FD6335     | Art and Design Context                                                             |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  34 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | FF3034     | Creative Arts Project: Production                                                  |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  35 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | G8L016     | Art and Design - Group Award                                                       |     1 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  36 | HDARD_SF117A  | HND in Art & Design SCQF Level 8 - Yr1 Grp A                       | STENTON  | H38035     | Art and Design Project                                                             |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  37 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | DV5T34     | Art and Design: Creative Process                                                   |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  38 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | DV9234     | Printmaking and Producing Print                                                    |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  39 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | DV9634     | Developmental Drawing                                                              |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  40 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | DV9834     | Life Drawing                                                                       |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  41 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | DV9A34     | Observational Drawing                                                              |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  42 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | DV9C34     | Portfolio Production                                                               |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  43 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | DX3835     | Observational Drawing Portfolio                                                    |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  44 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | DX3935     | Life Drawing Portfolio                                                             |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  45 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | F1H034     | Mixed Media Techniques                                                             |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  46 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | F1MX34     | Jewellery Design and Production                                                    |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  47 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | F1TN35     | Painting Project                                                                   |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  48 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | F1W734     | Experimental Glass: Design and Production                                          |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  49 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | F1X234     | Art and Design: Graded Unit 1                                                      |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  50 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | FD6335     | Art and Design Context                                                             |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  51 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | FF3034     | Creative Arts Project: Production                                                  |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  52 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | G8L016     | Art and Design - Group Award                                                       |     1 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  53 | HDARD_SF117B  | HND in Art & Design SCQF Level 8 - Yr1 Grp B                       | STENTON  | H38035     | Art and Design Project                                                             |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  54 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | DX3135     | Developmental Drawing Portfolio                                                    |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  55 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | DX3935     | Life Drawing Portfolio                                                             |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  56 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | F0MF35     | Art and Design Context: Personal Investigation                                     |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  57 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | F1D835     | Art and Design: Advanced Project                                                   |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  58 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | F1H335     | Art and Design: Presentation                                                       |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  59 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | F1H635     | Developing Reflective Practice in the Visual Arts                                  |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  60 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | F1MY35     | Jewellery Project                                                                  |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  61 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | F1N035     | Painting: Exploratory Techniques                                                   |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  62 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | F1TB35     | Public Art: Project                                                                |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  63 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | F1TD34     | Public Art: Introduction                                                           |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  64 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | F1TT35     | Glass Project                                                                      |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  65 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | F1X335     | Art and Design: Graded Unit 2                                                      |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  66 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | G8L016     | Art and Design - Group Award                                                       |     1 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  67 | HDARD_SF217A  | HND in Art & Design SCQF Level 8 - Yr2 Grp A                       | STENTON  | H38135     | Creative Project for Artists and Designers                                         |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  68 | HDARD_SI117A  | HND in Art & Design SCQF Level 8 - Yr1 Infill Grp A                | STENTON  | DV9C34     | Portfolio Production                                                               |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  69 | HDARD_SI117A  | HND in Art & Design SCQF Level 8 - Yr1 Infill Grp A                | STENTON  | F1TN35     | Painting Project                                                                   |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  70 | HDCIR_SF117A  | HND Creative Industries : Radio SCQF Level 8 Grp a                 | STENTON  | D7XP35     | Radio Production 2: Producing Programmes in a Range of Styles                      |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  71 | HDCIR_SF117A  | HND Creative Industries : Radio SCQF Level 8 Grp a                 | STENTON  | DM1A34     | Radio Presentation                                                                 |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  72 | HDCIR_SF117A  | HND Creative Industries : Radio SCQF Level 8 Grp a                 | STENTON  | F6JF34     | Law and the Media                                                                  |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  73 | HDCIR_SF117A  | HND Creative Industries : Radio SCQF Level 8 Grp a                 | STENTON  | FT6835     | Radio: Producing Online Content                                                    |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  74 | HDCIR_SF117A  | HND Creative Industries : Radio SCQF Level 8 Grp a                 | STENTON  | GK7P16     | Radio - Group Award                                                                |     1 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  75 | HDCIR_SF117A  | HND Creative Industries : Radio SCQF Level 8 Grp a                 | STENTON  | H4A134     | Creative Industries: An Introduction                                               |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  76 | HDCIR_SF117A  | HND Creative Industries : Radio SCQF Level 8 Grp a                 | STENTON  | H9DL34     | Radio Interviewing                                                                 |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  77 | HDCIR_SF117A  | HND Creative Industries : Radio SCQF Level 8 Grp a                 | STENTON  | H9DM34     | Radio Technical Operations, Recording and Editing                                  |     4 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  78 | HDCIR_SF117A  | HND Creative Industries : Radio SCQF Level 8 Grp a                 | STENTON  | H9DV35     | Advanced Radio Presentation                                                        |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
|  79 | HDCIR_SF117A  | HND Creative Industries : Radio SCQF Level 8 Grp a                 | STENTON  | H9DW34     | Scripting and Presenting for Radio Information Bulletins                           |     2 |        1 | ANY  | TBC      | 0         | 0        | 0         |
