+-----+---------------+---------------------------------------------------------------------------+----------+------------------------------+---------------------------------------------------------------+-------+----------+-------+----------+-----------+----------+-----------+
| id  | course        | course_desc                                                               | campus   | unit                         | unit_desc                                                     | hours | semester | room  | lecturer | room_lock | day_lock | time_lock |
+-----+---------------+---------------------------------------------------------------------------+----------+------------------------------+---------------------------------------------------------------+-------+----------+-------+----------+-----------+----------+-----------+
|   2 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | D28611                       | Foods of the World                                            |     2 | 2        | ANY   | SERVBCUA | 0         | 0        | 0         |
|   3 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | F19E10                       | Hospitality: Working in the Hospitality Industry              |     2 | 1        | ANY   | SERVBCUA | 0         | 0        | 0         |
|   4 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | F3GB10                       | Communication                                                 |     2 | 1        | ANY   | SERVCS   | 0         | 0        | 0         |
|   5 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | F3GF10                       | Numeracy                                                      |     2 | 2        | ANY   | SERVCS   | 0         | 0        | 0         |
|   6 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | F5G210                       | Marketing: An Introduction                                    |     2 | 1        | ANY   | SMCDO    | 0         | 0        | 0         |
|   7 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | F5G710 /F5G810/F5G910/F5G710 | Business Units F5G710 /F5G810/F5G910/F5G710/D36N10            |     2 | 1        | ANY   | TMCAL    | 0         | 0        | 0         |
|   8 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | F78610, F78710,F78810/D36N10 | Employability Units F78610, F78710,F78810/D36N10              |     2 | 2        | ANY   | TMCAL    | 0         | 0        | 0         |
|   9 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | H18P44                       | Personal Development: Self and Work                           |     2 | 2        | ANY   | TMCAL    | 0         | 0        | 0         |
|  10 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | H1N510                       | Administrative Activities                                     |     2 | 1        | ANY   | ESMIT    | 0         | 0        | 0         |
|  11 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | H1N610                       | Prepare Business Documents                                    |     2 | 1        | ANY   | TMCAL    | 0         | 0        | 0         |
|  12 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | H1YW74                       | IT Solutions for Administrators                               |     2 | 2        | ANY   | ESMIT    | 0         | 0        | 0         |
|  13 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | H28074                       | Business in Action                                            |     2 | 2        | ANY   | SMCDO    | 0         | 0        | 0         |
|  14 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | SGUIDA / STUDY               | Guidance/Study Skills                                         |     1 | 1        | ANY   | TMCAL    | 0         | 0        | 0         |
|  15 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | STOURD                       | Tourist Destinations                                          |     2 | 1        | ANY   | SERVBTER | 0         | 0        | 0         |
|  16 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | SWRKHR                       | Working as a Holiday Representative                           |     2 | 2        | ANY   | SERVBTER | 0         | 0        | 0         |
|  17 | NQABH4_BF118A | Access to Business/Hospitality/Tourism SCQF Level 4 FT - Yr 1 Grp A       | STB      | SGUIDA / STUDY               | Guidance/Study Skills                                         |     1 | 2        | ANY   | TMCAL    | 0         | 0        | 0         |
|  18 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | DE3R34                       | Personal Development Planning                                 |     1 | 1        | ANY   | DSCOT    | 0         | 0        | 0         |
|  19 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | DE3R34                       | Personal Development Planning                                 |     1 | 2        | ANY   | DSCOT    | 0         | 0        | 0         |
|  20 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | H1F0 34/H7TK 34/F7JA 34      | Creating a Culture of Customer Care/ Business Communication   |     1 | 1        | ANY   | LECHRI   | 0         | 0        | 0         |
|  21 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | H1F0 34/H7TK 34/F7JA 34      | Creating a Culture of Customer Care/ Business Communication   |     1 | 2        | ANY   | LECHRI   | 0         | 0        | 0         |
|  22 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | F1A334                       | Legal Secretarial Practice                                    |     2 | 2        | ANY   | DSCOT    | 0         | 0        | 0         |
|  23 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | F7JA34                       | Office Administration                                         |     2 | 1        | ANY   | LECHRI   | 0         | 0        | 0         |
|  24 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | F84X34                       | IT in Business: Databases                                     |     2 | 2        | ANY   | TMCAL    | 0         | 0        | 0         |
|  25 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | FG6233                       | Administrative Procedures                                     |     2 | 1        | ANY   | DSCOT    | 0         | 0        | 0         |
|  26 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | H1XK34                       | Recruitment, Selection and Induction                          |     2 | 1        | ANY   | JABBI    | 0         | 0        | 0         |
|  27 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | HH8133                       | Recording Financial Transactions                              |     2 | 1        | ANY   | BMCAR    | 0         | 0        | 0         |
|  28 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | HH8234                       | Digital Technologies for Administrators                       |     2 | 2        | ANY   | APREC    | 0         | 0        | 0         |
|  29 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | HH8334                       | IT in Business: Spreadsheets                                  |     2 | 1        | ANY   | APREC    | 0         | 0        | 0         |
|  30 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | HH8434                       | IT in Business: Word Processing and Presentation Applications |     2 | 1        | ANY   | JABBI    | 0         | 0        | 0         |
|  31 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | HH8434                       | IT in Business: Word Processing and Presentation Applications |     2 | 2        | ANY   | JABBI    | 0         | 0        | 0         |
|  32 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | F7BX34                       | Marketing: An Introduction                                    |     2 | 2        | ANY   | SMCDO    | 0         | 0        | 0         |
|  33 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | HH9M34                       | Administration and Information Technology: Graded Unit 1      |     2 | 2        | ANY   | LECHRI   | 0         | 0        | 0         |
|  34 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | DE3R34                       | Personal Development Planning                                 |     1 | 1        | ANY   | SMCDO    | 0         | 0        | 0         |
|  35 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | DE3R34                       | Personal Development Planning                                 |     1 | 2        | ANY   | SMCDO    | 0         | 0        | 0         |
|  36 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | H1F0 34/H7TK 34/F7JA 34      | Creating a Culture of Customer Care/ Business Communication   |     1 | 1        | ANY   | SMCDO    | 0         | 0        | 0         |
|  37 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | H1F0 34/H7TK 34/F7JA 34      | Creating a Culture of Customer Care/ Business Communication   |     1 | 2        | ANY   | SMCDO    | 0         | 0        | 0         |
|  38 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | F1A334                       | Legal Secretarial Practice                                    |     2 | 2        | ANY   | DSCOT    | 0         | 0        | 0         |
|  39 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | F7JA34                       | Office Administration                                         |     2 | 1        | ANY   | JABBI    | 0         | 0        | 0         |
|  40 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | F84X34                       | IT in Business: Databases                                     |     2 | 2        | ANY   | DSCOT    | 0         | 0        | 0         |
|  41 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | FG6233                       | Administrative Procedures                                     |     2 | 1        | ANY   | JABBI    | 0         | 0        | 0         |
|  42 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | H1XK34                       | Recruitment, Selection and Induction                          |     2 | 1        | ANY   | JABBI    | 0         | 0        | 0         |
|  43 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | HH8133                       | Recording Financial Transactions                              |     2 | 1        | ANY   | BMCAR    | 0         | 0        | 0         |
|  44 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | HH8234                       | Digital Technologies for Administrators                       |     2 | 2        | ANY   | APREC    | 0         | 0        | 0         |
|  45 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | HH8334                       | IT in Business: Spreadsheets                                  |     2 | 1        | ANY   | DSCOT    | 0         | 0        | 0         |
|  46 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | HH8434                       | IT in Business: Word Processing and Presentation Applications |     2 | 1        | ANY   | LECHRI   | 0         | 0        | 0         |
|  47 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | HH8434                       | IT in Business: Word Processing and Presentation Applications |     2 | 2        | ANY   | LECHRI   | 0         | 0        | 0         |
|  48 | HDAIT-BF118A  | HND Administration + Information Technology SCQF Level 8 FT - Yr 1 Grp A  | STB      | F7BX34                       | Marketing: An Introduction                                    |     2 | 2        | ANY   | LECHRI   | 0         | 0        | 0         |
|  49 | HCAIT-HF118A  | HNC Administration + Information Technology SCQF Level + FT - Yr 1 Grp A  | STB      | HH9M34                       | Administration and Information Technology: Graded Unit 1      |     2 | 2        | ANY   | DSCOT    | 0         | 0        | 0         |
|  50 | HCAIT-HF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | HALBEATH | DE3R34                       | Personal Development Planning                                 |     1 | 1        | ANY   | ESMIT    | 0         | 0        | 0         |
|  51 | HCAIT-HF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | HALBEATH | DE3R34                       | Personal Development Planning                                 |     1 | 2        | ANY   | ESMIT    | 0         | 0        | 0         |
|  52 | HCAIT-HF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | HALBEATH | H1F0 34/H7TK 34/F7JA 34      | Creating a Culture of Customer Care/ Business Communication   |     1 | 1        | ANY   | LECHRI   | 0         | 0        | 0         |
|  53 | HCAIT-HF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | HALBEATH | H1F0 34/H7TK 34/F7JA 34      | Creating a Culture of Customer Care/ Business Communication   |     1 | 2        | ANY   | LECHRI   | 0         | 0        | 0         |
|  54 | HCAIT-HF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | HALBEATH | F1A334                       | Legal Secretarial Practice                                    |     2 | 2        | ANY   | LECHRI   | 0         | 0        | 0         |
|  55 | HCAIT-HF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | HALBEATH | F7JA34                       | Office Administration                                         |     2 | 1        | ANY   | LECHRI   | 0         | 0        | 0         |
