+-----+---------------+---------------------------------------------------------------------------+----------+------------------------------+------------------------------------------------------------------------------+-------+----------+-------+----------+-----------+-----------+-----------+
| id  | course        | course_desc                                                               | campus   | unit                         | unit_desc                                                                    | hours | semester | room  | lecturer | room_lock | day_lock  | time_lock |
+-----+---------------+---------------------------------------------------------------------------+----------+------------------------------+------------------------------------------------------------------------------+-------+----------+-------+----------+-----------+-----------+-----------+
|   2 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | HH8234                       | Digital Technologies for Administrators                                      |     2 | 2        | PC    | APREC    | 0         | 0         | 0         |
|   3 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | HH8334                       | IT in Business: Spreadsheets                                                 |     2 | 1        | PC    | APREC    | 0         | 0         | 0         |
|   4 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | HH8133                       | Recording Financial Transactions                                             |     2 | 1        | ANY   | BMCAR    | 0         | 0         | 0         |
|   5 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | F1A334                       | Legal Secretarial Practice                                                   |     2 | 2        | PC    | DSCOT    | 0         | 0         | 0         |
|   6 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | FG6233                       | Administrative Procedures                                                    |     2 | 1        | PC    | DSCOT    | 0         | 0         | 0         |
|   7 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | DE3R34                       | Personal Development Planning                                                |     1 | 1        | PC    | SMCDO    | 0         | 0         | 0         |
|   8 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | DE3R34                       | Personal Development Planning                                                |     1 | 2        | PC    | SMCDO    | 0         | 0         | 0         |
|   9 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | H1XK34                       | Recruitment, Selection and Induction                                         |     2 | 1        | ANY   | JABBI    | 0         | 0         | 0         |
|  10 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | HH8434                       | IT in Business: Word Processing and Presentation Applications                |     2 | 1        | PC    | JABBI    | 0         | 0         | 0         |
|  11 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | HH8434                       | IT in Business: Word Processing and Presentation Applications                |     2 | 2        | PC    | JABBI    | 0         | 0         | 0         |
|  12 | HCAIT_BF118A  | HNC Administration + Information Technology SCQF Level 7 FT - Yr 1 Grp A  | STB      | H1F0 34/H7TK 34/F7JA 34      | Creating a Culture of Customer Care/ Business Communication                  |     1 | 1        | ANY   | LECHRI   | 0         | 0         | 0         |
