+-----+---------------------------+--------------------------------------------------------------------+---------+---------+----------------------------------------------------------------------+-------+----------+-------+---------------+-----------+----------+-----------+
| id  | course                    | course_desc                                                        | campus  | unit    | unit_desc                                                            | hours | semester | room  | lecturer      | room_lock | day_lock | time_lock |
+-----+---------------------------+--------------------------------------------------------------------+---------+---------+----------------------------------------------------------------------+-------+----------+-------+---------------+-----------+----------+-----------+
|   2 | BSWDD_SF117A              | BSc Web Design and Development (incorporating Mobile Applications  | STENTON | CMP306  | Dynamic Wed Development 2                                            |     3 | 1        | ANY   | Shona Irvine  | 0         | 0        | 0         |
|   3 | BSWDD_SF117A              | BSc Web Design and Development (incorporating Mobile Applications  | STENTON | CMP308  | Professional Project Planning and Prototyping                        |     3 | 1        | ANY   | Mark McPhee   | 0         | 0        | 0         |
|   4 | BSWDD_SF117A              | BSc Web Design and Development (incorporating Mobile Applications  | STENTON | CMP309  | Software Development for Mobile Devices                              |     3 | 2        | S3.12 | Colin Maxwell | 0         | 0        | 0         |
|   5 | BSWDD_SF117A              | BSc Web Design and Development (incorporating Mobile Applications  | STENTON | CMP311  | Professional Project Development and Delivery                        |     3 | 2        | ANY   | Mark McPhee   | 0         | 0        | 0         |
|   6 | BSWDD_SF117A              | BSc Web Design and Development (incorporating Mobile Applications  | STENTON | CMP312  | Rich Internet Applications                                           |     3 | 2        | ANY   | Shona Irvine  | 0         | 0        | 0         |
|   7 | BSWDD_SF117A              | BSc Web Design and Development (incorporating Mobile Applications  | STENTON | CMP313  | HCI - User Centred Design                                            |     3 | 1        | ANY   | Shona Irvine  | 0         | 0        | 0         |
|   9 | HD3CA_SF117A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                 | STENTON | DW6C34  | Photography: An Introduction                                         |     2 | 2        | S3.1  | Nairn Beattie | 0         | 0        | 0         |
|  10 | HD3CA_SF117A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                 | STENTON | F56534  | 3D Computer Animation: Movement Studies Intermediate                 |     3 | 1        | S3.1  | Lee Priestley | 0         | 0        | 0         |
|  11 | HD3CA_SF117A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                 | STENTON | F5GC34  | 3D Computer Modelling and Animation: An Introduction                 |     4 | 1        | S3.1  | Lee Priestley | 0         | 0        | 0         |
