+-----+---------------------------+------------------------------------------------------------------------------------------------------+----------+------------------------------------+------------------------------------------------------------------------------------+-------+----------+-------+-----------------+-----------+----------+-----------+
| id  | course                    | course_desc                                                                                          | campus   | unit                               | unit_desc                                                                          | hours | semester | room  | lecturer        | room_lock | day_lock | time_lock |
+-----+---------------------------+------------------------------------------------------------------------------------------------------+----------+------------------------------------+------------------------------------------------------------------------------------+-------+----------+-------+-----------------+-----------+----------+-----------+
|   2 | BSWDD_SF118A              | BSc Web Design and Development (incorporating Mobile Applications                                    | STENTON  | CMP306                             | Dynamic Wed Development 2                                                          |     3 | 1        | COMP  | Shona Irvine    | 0         | 0        | 0         |
|   3 | BSWDD_SF118A              | BSc Web Design and Development (incorporating Mobile Applications                                    | STENTON  | CMP308                             | Professional Project Planning and Prototyping                                      |     3 | 1        | COMP  | Mark McPhee     | 0         | 0        | 0         |
|   4 | BSWDD_SF118A              | BSc Web Design and Development (incorporating Mobile Applications                                    | STENTON  | CMP309                             | Software Development for Mobile Devices                                            |     3 | 2        | S3.12 | Colin Maxwell   | S3.12     | 0        | 0         |
|   5 | BSWDD_SF118A              | BSc Web Design and Development (incorporating Mobile Applications                                    | STENTON  | CMP311                             | Professional Project Development and Delivery                                      |     3 | 2        | COMP  | Mark McPhee     | 0         | 0        | 0         |
|   6 | BSWDD_SF118A              | BSc Web Design and Development (incorporating Mobile Applications                                    | STENTON  | CMP312                             | Rich Internet Applications                                                         |     3 | 2        | COMP  | Shona Irvine    | 0         | 0        | 0         |
|   7 | BSWDD_SF118A              | BSc Web Design and Development (incorporating Mobile Applications                                    | STENTON  | CMP313                             | HCI - User Centred Design                                                          |     3 | 1        | COMP  | Colin Maxwell   | 0         | 0        | 0         |
|   9 | HD3CA_SF118A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                                                   | STENTON  | DW6C34                             | Photography: An Introduction                                                       |     2 | 2        | COMP  | Nairn Beattie   | 0         | 0        | 0         |
|  10 | HD3CA_SF118A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                                                   | STENTON  | F56534                             | 3D Computer Animation: Movement Studies Intermediate                               |     3 | 1        | S3.1  | Lee Priestley   | 0         | 0        | 0         |
|  11 | HD3CA_SF118A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                                                   | STENTON  | F5GC34                             | 3D Computer Modelling and Animation: An Introduction                               |     4 | 1        | S3.1  | Lee Priestley   | 0         | 0        | 0         |
|  12 | HD3CA_SF118A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                                                   | STENTON  | F5GD34                             | 3D Animation: Drawing Skills                                                       |     2 | 1        | COMP  | Francis Barclay | 0         | 0        | 0         |
|  13 | HD3CA_SF118A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                                                   | STENTON  | F7BY34                             | 3D Animation: Environmental Modelling                                              |     3 | 2        | S3.1  | Lee Priestley   | 0         | 0        | 0         |
|  14 | HD3CA_SF118A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                                                   | STENTON  | F7FD34                             | 3D Computer Animation: Graded Unit 1                                               |     2 | 2        | S3.1  | Lee Priestley   | 0         | 0        | 0         |
|  15 | HD3CA_SF118A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                                                   | STENTON  | H49W34                             | 3D Computer Animation: Character Modelling Intermediate                            |     4 | 1        | S3.1  | Lee Priestley   | 0         | 0        | 0         |
|  16 | HD3CA_SF118A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                                                   | STENTON  | H49X34                             | 3D Animation: Lighting                                                             |     2 | 2        | S3.1  | Lee Priestley   | 0         | 0        | 0         |
|  17 | HD3CA_SF118A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                                                   | STENTON  | H4A134                             | Creative Industries: An Introduction                                               |     2 | 2        | S3.1  | Nairn Beattie   | 0         | 0        | 0         |
|  18 | HD3CA_SF118A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                                                   | STENTON  | H4A634                             | Editing: An Introduction                                                           |     2 | 1        | S3.1  | Nairn Beattie   | 0         | 0        | 0         |
|  19 | HD3CA_SF118A              | HND 3D Computer Animation SCQF Level 8 - Yr1 Grp A                                                   | STENTON  | H4JN34                             | Compositing and Motion Graphics                                                    |     2 | 2        | S3.1  | Nairn Beattie   | 0         | 0        | 0         |
|  21 | HD3CA_SF218A              | HND 3D Computer Animation SCQF Level 8 - Yr2 Grp A                                                   | STENTON  | DE3535                             | 2D Digital Imaging and Animation                                                   |     4 | 1        | COMP  | Rebecca Blyth   | 0         | 0        | 0         |
|  22 | HD3CA_SF218A              | HND 3D Computer Animation SCQF Level 8 - Yr2 Grp A                                                   | STENTON  | DV9634                             | Developmental Drawing                                                              |     2 | 1        | COMP  | Francis Barclay | 0         | 0        | 0         |
