+-----+---------------+------------------------------------------------------------------------------------------------------+----------+--------------------------------------------+------------------------------------------------------------------------------------------------------+-------+----------+-------+------------+-----------+-----------+-----------+
| id  | course        | course_desc                                                                                          | campus   | unit                                       | unit_desc                                                                                            | hours | semester | room  | lecturer   | room_lock | day_lock  | time_lock |
+-----+---------------+------------------------------------------------------------------------------------------------------+----------+--------------------------------------------+------------------------------------------------------------------------------------------------------+-------+----------+-------+------------+-----------+-----------+-----------+
|   2 | BSAPN_BF117A  | BSc Applied Networking Technologies SCQF Level 9 - Yr1 Grp A                                         | STB      | CMP394                                     | Cyber Security                                                                                       |     3 | 1        | BF45A | Arthur     | BF45A     | Tuesday   | 09:00     |
|   3 | BSAPN_BF117A  | BSc Applied Networking Technologies SCQF Level 9 - Yr1 Grp A                                         | STB      | CMP391                                     | Cloud Computing + Virtualisation                                                                     |     3 | 2        | BF45A | Arthur     | BF45A     | Tuesday   | 09:00     |
|   4 | BSAPN_BF117A  | BSc Applied Networking Technologies SCQF Level 9 - Yr1 Grp A                                         | STB      | CMP392                                     | Computer Forensics                                                                                   |     3 | 2        | BF45A | ANOCYBNET  | BF45A     | Monday    | 10:00     |
|   5 | BSAPN_BF117A  | BSc Applied Networking Technologies SCQF Level 9 - Yr1 Grp A                                         | STB      | CMP393                                     | Computer Network Group Project                                                                       |     3 | 2        | BF45A | Peter      | BF45A     | Tuesday   | 13:00     |
|   6 | BSAPN_BF117A  | BSc Applied Networking Technologies SCQF Level 9 - Yr1 Grp A                                         | STB      | CMP395                                     | Managing Computer Network Projects                                                                   |     3 | 1        | BF45A | Peter      | BF45A     | Monday    | 10:00     |
|   7 | BSAPN_BF117A  | BSc Applied Networking Technologies SCQF Level 9 - Yr1 Grp A                                         | STB      | CMP396                                     | Network Technologies                                                                                 |     3 | 1        | BF45A | Arthur     | BF45A     | Tuesday   | 13:00     |
|   8 | BSAPN_BF117A  | BSc Applied Networking Technologies SCQF Level 9 - Yr1 Grp A                                         | STB      | CMPIL1                                     | Independent Learning S1                                                                              |     1 | 1        | BF45A | NLR        | BF45A     | Tuesday   | 16:00     |
|   9 | BSAPN_BF117A  | BSc Applied Networking Technologies SCQF Level 9 - Yr1 Grp A                                         | STB      | CMPIL1                                     | Independent Learning S1                                                                              |     1 | 1        | BF45A | NLR        | BF45A     | Monday    | 09:00     |
|  10 | BSAPN_BF117A  | BSc Applied Networking Technologies SCQF Level 9 - Yr1 Grp A                                         | STB      | CMPIL2                                     | Independent Learning S2                                                                              |     1 | 2        | BF45A | NLR        | BF45A     | Tuesday   | 16:00     |
|  11 | BSAPN_BF117A  | BSc Applied Networking Technologies SCQF Level 9 - Yr1 Grp A                                         | STB      | CMPIL2                                     | Independent Learning S2                                                                              |     1 | 2        | BF45A | NLR        | BF45A     | Monday    | 09:00     |
|  15 | HCCPT7_SD217A | HNC Computing (Schools) SCQF Level 7 - Yr2 Grp A                                                     | STENTON  | F1VV34+H1F734+H17W34                       | Interactive Media: User Interface Design+Professionalism and Ethics in Computing+Software Developmen |     4 | ALL      | A     | Stewart    | S3.12     | Tuesday   | 13:00     |
|  16 | HCCPT7_SD217A | HNC Computing (Schools) SCQF Level 7 - Yr2 Grp A                                                     | STENTON  | H17834+H1J834+H16W35                       | Team Working in Computing+Computing:  Graded Unit 1+Relational Database Management Systems           |     4 | ALL      | A     | Stewart    | S3.12     | Thursday  | 13:00     |
|  18 | HDCON_BF117A  | HND Computing: Networking SCQF Level 8 - Yr1 Grp A                                                   | STB      | H17334                                     | Developing Software: Introduction                                                                    |     2 | 1        | A     | Aurelien   | 0         | 0         | 0         |
|  19 | HDCON_BF117A  | HND Computing: Networking SCQF Level 8 - Yr1 Grp A                                                   | STB      | H17534                                     | Computer Systems Fundamentals                                                                        |     2 | 1        | A     | Norman     | 0         | 0         | 0         |
|  20 | HDCON_BF117A  | HND Computing: Networking SCQF Level 8 - Yr1 Grp A                                                   | STB      | H17734                                     | Troubleshooting Computer Problems                                                                    |     2 | 1        | A     | Lorna      | 0         | 0         | 0         |
|  21 | HDCON_BF117A  | HND Computing: Networking SCQF Level 8 - Yr1 Grp A                                                   | STB      | H1F734                                     | Professionalism and Ethics in Computing                                                              |     2 | 1        | BS50  | Aurelien   | 0         | 0         | 0         |
