+-----+---------------+--------------------------------------------------------------------------------------+---------+-------------------------------------------+------------------------------------------------------------------------------------------------------+-------+----------+---------+-------------+-----------+-----------+-----------+
| id  | course        | course_desc                                                                          | campus  | unit                                      | unit_desc                                                                                            | hours | semester | room    | lecturer    | room_lock | day_lock  | time_lock |
+-----+---------------+--------------------------------------------------------------------------------------+---------+-------------------------------------------+------------------------------------------------------------------------------------------------------+-------+----------+---------+-------------+-----------+-----------+-----------+
|   1 | 0             | 0                                                                                    | 0       | 0                                         | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|   5 | HCEVE_BF117A  | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                              | STB     | F35S34+H91J34+H91K34+HJ4W34               | Event Budgeting and Funding + Organisiing an Event + Event Industrty An Intro+ Work Plcaement        |     7 | 1        | BS01    | FMCLEOD     | 0         | 0         | 0         |
|   9 | HCEVE_BF117A  | HNC Events SCQF Level 7 FT - Yr 1 Grp A                                              | STB     | F35S34+H91J34+H91K34+HJ4W34               | Event Budgeting and Funding + Organisiing an Event + Event Industrty An Intro+ Work Plcaement        |     7 | 2        | BS01    | FMCLEOD     | 0         | 0         | 0         |
|  14 | 0             | 0                                                                                    | 0       | 0                                         | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  31 | 0             | 0                                                                                    | 0       | 0                                         | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  47 | 0             | 0                                                                                    | 0       | 0                                         | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  61 | 0             | 0                                                                                    | 0       | 0                                         | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  68 | 0             | 0                                                                                    | 0       | 0                                         | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  84 | 0             | 0                                                                                    | 0       | 0                                         | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  86 | 0             | 0                                                                                    | 0       | 0                                         | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 101 | 0             | 0                                                                                    | 0       | 0                                         | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 105 | 0             | 0                                                                                    | 0       | 0                                         | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 114 | NCCM+NCFDM5SF | Intermediate Certiifcate: Costume Garments                                           | STENTON | SPRTB3+F5C512+D36N11                      | Portfolio Building 3+ Creative Textile Development+Enterprise Activity                               |     4 | 1        | 0       | AWILLIAMSON | 0         | 0         | 0         |
| 115 | NCCM+NCFDM5SF | 0                                                                                    | STENTON | SPRTB3+F5C512+D36N11                      | Portfolio Building 3+ Creative Textile Development+Enterprise Activity                               |     2 | 1        | 0       | AWILLIAMSON | 0         | 0         | 0         |
| 116 | NCCM+NCFDM5SF | Intermediate Certiifcate: Costume Garments                                           | STENTON | FP5012+F3GC11                             | Digital Fashion Illustration: An Introduction + IT                                                   |     2 | 2        | 0       | SFINLAY     | 0         | 0         | 0         |
| 117 | NCCM+NCFDM5SF | 0                                                                                    | STENTON | FP5012+F3GC11                             | Digital Fashion Illustration: An Introduction + IT                                                   |     2 | 2        | 0       | SFINLAY     | 0         | 0         | 0         |
| 121 | 0             | 0                                                                                    | 0       | 0                                         | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
