+-----+---------------+-------------------------------------------------+---------+-----------------------------+------------------------------------------------------------------------------------------------------+-------+----------+---------+-------------+-----------+-----------+-----------+
| id  | course        | course_desc                                     | campus  | unit                        | unit_desc                                                                                            | hours | semester | room    | lecturer    | room_lock | day_lock  | time_lock |
+-----+---------------+-------------------------------------------------+---------+-----------------------------+------------------------------------------------------------------------------------------------------+-------+----------+---------+-------------+-----------+-----------+-----------+
|   1 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  15 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  32 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  48 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  62 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  69 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  85 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
|  87 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 102 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 106 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 121 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 125 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 139 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 155 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 167 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 183 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 200 | 0             | NQ Retailing SCQF Level 5 - Yr1 Grp A (Schools) | STB     | F33K11                      | Retailing: Planning and Implementing an Event                                                        |     3 | 2        | ANY     | Kane999     | BF16      | Thursday  | 14:00     |
| 201 | 0             | 0                                               | 0       | 0                           | 0                                                                                                    |     0 | 0        | 0       | 0           | 0         | 0         | 0         |
| 202 | 0             | N4 Fashion and Textile Technology(Schools)      | EASTERN | H24V74                      | Fashion and Textile Technology: Textile Technologies                                                 |     3 | 2        | V2.5    | Gullit9     | V2.5      | Tuesday   | 14:00     |
| 203 | 0             | N4 Fashion and Textile Technology(Schools)      | EASTERN | H24X74                      | Fashion and Textile Technology: Fashion+Textile Item Development                                     |     3 | 1        | S3.6    | Kane999     | S3.6      | Tuesday   | 14:00     |
| 204 | 0             | N4 Fashion and Textile Technology(Schools)      | EASTERN | H25174                      | Fashion and Textile Technology: Fashion and Textile Choices                                          |     3 | 1        | S3.6    | Kane999     | S3.6      | Thursday  | 14:00     |
