+---------------------------+---------+----------+------------+
| course                    | campus  | semester | SUM(hours) |
+---------------------------+---------+----------+------------+
| HCEVE_BF117A              | STB     | 1        |         13 |
| HCEVE_BF117A              | STB     | 2        |         16 |
| HCTRT_BF117A              | STB     | 1        |         15 |
| HCTRT_BF117A              | STB     | 2        |         14 |
| HCTRT_BF117B              | STB     | 1        |         16 |
| HCTRT_BF117B              | STB     | 2        |         13 |
| HDEVM_BF217A              | STB     | 1        |          4 |
| HDEVM_BF217A              | STB     | 2        |          8 |
| HDEVM_BF217A+HDTRT_BF217A | STB     | 1        |          9 |
| HDEVM_BF217A+HDTRT_BF217A | STB     | 2        |          7 |
| HDFDB_SF117A              | EASTERN | 2        |          2 |
| HDFDB_SF117A+HDFDC_SF117A | EASTERN | 1        |         20 |
| HDFDB_SF117A+HDFDC_SF117A | EASTERN | 2        |         10 |
| HDFDB_SF217A              | EASTERN | 1        |          4 |
| HDFDB_SF217A              | EASTERN | 2        |          5 |
| HDFDB_SF217A+HDFDC_SF217A | EASTERN | 1        |         15 |
| HDFDB_SF217A+HDFDC_SF217A | EASTERN | 2        |          9 |
| HDFDC_SF117A              | EASTERN | 2        |          2 |
| HDFDC_SF217A              | EASTERN | 1        |          5 |
| HDFDC_SF217A              | EASTERN | 2        |          4 |
| HDTRT_BF217A              | STB     | 1        |          6 |
| HDTRT_BF217A              | STB     | 2        |          6 |
| NCBUR6-LF117A             | SOUTH   | 1        |         14 |
| NCBUR6-LF117A             | SOUTH   | 2        |         16 |
| NCCM                      | EASTERN | 2        |          6 |
| NCCM+NCFDM5SF             | EASTERN | 1        |         20 |
| NCCM+NCFDM5SF             | EASTERN | 2        |          8 |
| NCFDM5SF                  | EASTERN | 2        |          6 |
| NCRET5_LF117A             | SOUTH   | 1        |         15 |
| NCRET5_LF117A             | SOUTH   | 2        |         17 |
| NQABH4L_LF117A            | SOUTH   | 1        |         16 |
| NQABH4L_LF117A            | SOUTH   | 2        |         14 |
| NQABT4_1F117A             | NRTH    | 1        |         12 |
| NQABT4_1F117A             | NRTH    | 2        |         12 |
| NQACR4_LF117A             | SOUTH   | 1        |         19 |
| NQACR4_LF117A             | SOUTH   | 2        |         16 |
| NQEVE6_BF117A             | STB     | 1        |         14 |
| NQEVE6_BF117A             | STB     | 2        |         14 |
| NQFTT4-SP117              | EASTERN | 2        |          3 |
| NQFTT4-SP118              | EASTERN | 1        |          3 |
| NQFTT4-SP119              | EASTERN | 1        |          3 |
| NQFTT4-SP120              | EASTERN | 2        |          3 |
| NQRET5_BP117A             | STB     | 1        |          6 |
| NQRET5_BP117A             | STB     | 2        |          6 |
| NQTRT6_BF117A             | STB     | 1        |         17 |
| NQTRT6_BF117A             | STB     | 2        |         17 |
| NQTRT6_BF117B             | STB     | 1        |         18 |
| NQTRT6_BF117B             | STB     | 2        |         17 |
| NQWTH5_BF117A             | STB     | 1        |         12 |
| NQWTH5_BF117A             | STB     | 2        |         15 |
| NQWTH5_BF117B             | STB     | 1        |         14 |
| NQWTH5_BF117B             | STB     | 2        |         15 |
+---------------------------+---------+----------+------------+
