+---------------------------+---------+----------+------------+
| course                    | campus  | semester | SUM(hours) |
+---------------------------+---------+----------+------------+
| HCEVE_BF117A              | STB     | 1        |         13 |
| HCEVE_BF117A              | STB     | 2        |         15 |
| HCTRT_BF117A              | STB     | 1        |         18 |
| HCTRT_BF117A              | STB     | 2        |         11 |
| HCTRT_BF117B              | STB     | 1        |         18 |
| HCTRT_BF117B              | STB     | 2        |         11 |
| HDEVM_BF217A              | STB     | 1        |          6 |
| HDEVM_BF217A              | STB     | 2        |         11 |
| HDEVM_BF217A+HDTRT_BF217A | STB     | 1        |          7 |
| HDEVM_BF217A+HDTRT_BF217A | STB     | 2        |          5 |
| HDFDB_SF117A              | STENTON | 2        |          2 |
| HDFDB_SF117A+HDFDC_SF117A | STENTON | 1        |         20 |
| HDFDB_SF117A+HDFDC_SF117A | STENTON | 2        |         10 |
| HDFDB_SF217A              | STENTON | 1        |          5 |
| HDFDB_SF217A              | STENTON | 2        |          5 |
| HDFDB_SF217A+HDFDC_SF217A | STENTON | 1        |         13 |
| HDFDB_SF217A+HDFDC_SF217A | STENTON | 2        |         11 |
| HDFDC_SF117A              | STENTON | 2        |          2 |
| HDFDC_SF217A              | STENTON | 1        |          6 |
| HDFDC_SF217A              | STENTON | 2        |          2 |
| HDTRT_BF217A              | STB     | 1        |          8 |
| HDTRT_BF217A              | STB     | 2        |          8 |
| NCBUR6-LF117A             | LEVEN   | 1        |         14 |
| NCBUR6-LF117A             | LEVEN   | 2        |         16 |
| NCCM                      | STENTON | 2        |          6 |
| NCCM+NCFDM5SF             | STENTON | 1        |         17 |
| NCCM+NCFDM5SF             | STENTON | 2        |         10 |
| NCFDM5SF                  | STENTON | 2        |          6 |
| NCR                       | STB     | 1        |          4 |
| NCR                       | STB     | 2        |          4 |
| NCR                       | STENTON | 1        |          4 |
| NCR                       | STENTON | 2        |          4 |
| NCRET5_LF117A             | LEVEN   | 1        |         17 |
| NCRET5_LF117A             | LEVEN   | 2        |         15 |
| NQABH4L_LF117A            | LEVEN   | 1        |         16 |
| NQABH4L_LF117A            | LEVEN   | 2        |         14 |
| NQACR4_LF117A             | LEVEN   | 1        |         15 |
| NQACR4_LF117A             | LEVEN   | 2        |         20 |
| NQEVE6_BF117A             | STB     | 1        |         14 |
| NQEVE6_BF117A             | STB     | 2        |         14 |
| NQTRT6_BF117A             | STB     | 1        |         19 |
| NQTRT6_BF117A             | STB     | 2        |         19 |
| NQTRT6_BF117B             | STB     | 1        |         21 |
| NQTRT6_BF117B             | STB     | 2        |         17 |
| NQWTH5_BF117A             | STB     | 1        |         12 |
| NQWTH5_BF117A             | STB     | 2        |         15 |
| NQWTH5_BF117B             | STB     | 1        |         15 |
| NQWTH5_BF117B             | STB     | 2        |         15 |
+---------------------------+---------+----------+------------+
